Query_number;doc_id;score
10;237179;6.9599714279174805
10;453514;6.9542717933654785
10;77318;6.922711372375488
10;231068;6.848799228668213
10;118924;6.732826232910156
10;424490;6.660832405090332
10;435760;6.622058391571045
10;59912;6.579563617706299
11;17238;12.508516311645508
11;427902;11.72903823852539
11;431779;11.439154624938965
11;227359;11.24862289428711
11;68442;11.166956901550293
11;275918;11.050102233886719
11;129727;10.901250839233398
11;49893;10.742189407348633
11;445355;10.618992805480957
11;209639;10.343024253845215
12;3976;10.840580940246582
12;267626;9.56396770477295
12;463487;8.897366523742676
12;76945;8.876001358032227
12;356463;8.132719039916992
12;307363;8.058711051940918
12;53469;8.0248441696167
12;374216;7.988044261932373
12;240611;7.771291732788086
12;138501;7.74375057220459
13;164486;9.94920539855957
13;79603;9.769620895385742
13;184607;8.318477630615234
13;490185;8.07441234588623
13;481938;7.915201663970947
13;163563;7.8606767654418945
13;429187;7.860431671142578
13;148453;7.584949970245361
13;54200;7.470215320587158
13;5647;7.4022369384765625
14;482219;8.814783096313477
14;426510;8.64644718170166
14;98162;8.334729194641113
14;99851;7.76971435546875
14;448411;7.621230125427246
14;212878;7.548574924468994
14;463695;7.448551654815674
14;382421;7.168301582336426
14;27765;6.695087432861328
14;1525;6.461461067199707
15;14387;20.509912490844727
15;346231;15.818961143493652
15;442250;14.217273712158203
15;449456;13.73586368560791
15;53396;13.718721389770508
15;107973;13.227832794189453
15;184067;13.123867988586426
15;206700;12.884767532348633
15;284662;12.791030883789062
15;90609;11.489152908325195
16;310790;8.776412963867188
16;72839;8.243596076965332
16;155123;8.074545860290527
16;163203;8.069343566894531
16;385314;7.923029899597168
16;183056;7.838012218475342
16;262187;7.571708679199219
16;407968;7.559529781341553
16;196902;7.507546424865723
16;72268;7.434851169586182
17;419231;14.710050582885742
17;429186;14.380285263061523
17;107586;9.01807689666748
17;80311;6.11496639251709
17;490318;6.017049312591553
17;488744;6.015075206756592
17;76700;5.980088233947754
17;266241;5.974791049957275
17;46101;5.96483850479126
17;94406;5.917789459228516
18;426872;16.510189056396484
18;179059;15.675040245056152
18;19726;15.41729736328125
18;96953;15.078125953674316
18;350565;13.214662551879883
18;297309;11.2627534866333
18;314322;11.173020362854004
18;273288;10.838120460510254
18;101999;10.80239200592041
18;24757;10.710206985473633
